## Filter transmission curves for all possible HRC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F220W
# 4	EEERR_F220W
# 5	EE_F250W
# 6	EEERR_F250W
# 7	EE_F330W
# 8	EEERR_F330W
# 9	EE_F334N
# 10	EEERR_F334N
# 11	EE_F435W
# 12	EEERR_F435W
# 13	EE_F475W
# 14	EEERR_F475W
# 15	EE_F502N
# 16	EEERR_F502N
# 17	EE_F550M
# 18	EEERR_F550M
# 19	EE_F555W
# 20	EEERR_F555W
# 21	EE_F606W
# 22	EEERR_F606W
# 23	EE_F625W
# 24	EEERR_F625W
# 25	EE_F658N
# 26	EEERR_F658N
# 27	EE_F660N
# 28	EEERR_F660N
# 29	EE_F775W
# 30	EEERR_F775W
# 31	EE_F814W
# 32	EEERR_F814W
# 33	EE_F850LP
# 34	EEERR_F850LP
# 35	EE_F892N
# 36	EEERR_F892N
##                     F220W            F250W          F330W           F334N           F435W           F475W           F502N           F550M           F555W           F606W           F625W            F658N           F660N            F775W           F814W          F850LP          F892N  
##   pix     asec    ee      std     ee       std   avge    stdev  avge     stdev   avge    stdev   avge    stdev   average stdev   avge    stdev   avge    stdev   avge    stdev   avge     stdev  avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev
  68.000   1.700  97.863   0.189  98.308   0.182  98.061   0.160  98.073   0.330  97.727   0.141  97.449   0.268  97.332   0.069  97.087   0.046  97.525   0.096  97.381   0.130  96.972   0.106  96.617   0.152  95.559   0.118  95.643   0.128  93.986   0.082  89.372   0.048  89.307   0.509
  69.000   1.725  97.911   0.186  98.350   0.181  97.917   0.251  98.132   0.333  97.796   0.141  97.528   0.265  97.396   0.070  97.158   0.043  97.595   0.097  97.446   0.127  97.027   0.105  96.670   0.150  95.610   0.117  95.719   0.127  94.094   0.080  89.559   0.047  89.481   0.511
  70.000   1.750  97.960   0.181  98.392   0.180  97.971   0.250  98.181   0.340  97.868   0.142  97.608   0.266  97.464   0.068  97.230   0.043  97.668   0.097  97.509   0.129  97.082   0.103  96.723   0.152  95.663   0.117  95.801   0.127  94.201   0.080  89.746   0.048  89.669   0.508
  71.000   1.775  98.000   0.177  98.427   0.178  98.023   0.251  98.226   0.343  97.939   0.141  97.681   0.265  97.541   0.062  97.300   0.041  97.739   0.099  97.576   0.132  97.137   0.104  96.780   0.153  95.722   0.113  95.883   0.128  94.307   0.079  89.931   0.049  89.848   0.504
  72.000   1.800  98.033   0.176  98.459   0.175  98.259   0.161  98.269   0.340  98.005   0.140  97.749   0.267  97.627   0.056  97.369   0.038  97.813   0.100  97.642   0.133  97.195   0.101  96.843   0.154  95.788   0.105  95.963   0.125  94.412   0.080  90.110   0.046  90.012   0.497
  73.000   1.825  98.062   0.175  98.503   0.180  98.300   0.161  98.308   0.341  98.069   0.141  97.816   0.271  97.702   0.055  97.437   0.044  97.886   0.099  97.706   0.137  97.250   0.098  96.912   0.159  95.848   0.103  96.036   0.124  94.514   0.082  90.291   0.042  90.171   0.491
  74.000   1.850  98.102   0.173  98.550   0.187  98.345   0.161  98.351   0.343  98.131   0.145  97.882   0.270  97.765   0.057  97.512   0.045  97.957   0.096  97.773   0.139  97.306   0.100  96.971   0.161  95.911   0.105  96.112   0.125  94.621   0.083  90.471   0.036  90.335   0.486
  75.000   1.875  98.140   0.169  98.590   0.186  98.381   0.160  98.387   0.339  98.190   0.146  97.946   0.269  97.829   0.053  97.580   0.044  98.022   0.095  97.835   0.138  97.366   0.103  97.015   0.159  95.981   0.107  96.191   0.124  94.725   0.079  90.646   0.034  90.492   0.478
  76.000   1.900  98.168   0.169  98.628   0.185  98.411   0.158  98.422   0.343  98.247   0.146  98.009   0.267  97.900   0.050  97.641   0.043  98.083   0.099  97.897   0.139  97.425   0.103  97.056   0.159  96.061   0.115  96.265   0.122  94.829   0.074  90.817   0.033  90.657   0.466
  77.000   1.925  98.200   0.171  98.667   0.182  98.445   0.158  98.459   0.352  98.295   0.147  98.063   0.267  97.975   0.054  97.698   0.043  98.141   0.102  97.956   0.141  97.484   0.102  97.098   0.159  96.108   0.120  96.336   0.123  94.930   0.071  90.991   0.037  90.815   0.459
  78.000   1.950  98.236   0.173  98.700   0.181  98.306   0.238  98.502   0.353  98.337   0.148  98.113   0.272  98.049   0.055  97.750   0.045  98.198   0.101  98.009   0.141  97.532   0.104  97.142   0.161  96.151   0.125  96.408   0.121  95.027   0.068  91.154   0.045  90.962   0.458
  79.000   1.975  98.278   0.175  98.732   0.184  98.347   0.241  98.536   0.345  98.376   0.151  98.169   0.277  98.111   0.051  97.805   0.042  98.256   0.101  98.062   0.139  97.582   0.107  97.195   0.164  96.197   0.131  96.480   0.121  95.121   0.067  91.317   0.049  91.110   0.458
  80.000   2.000  98.322   0.173  98.765   0.188  98.388   0.244  98.565   0.340  98.412   0.154  98.226   0.280  98.168   0.047  97.864   0.042  98.318   0.103  98.114   0.141  97.639   0.108  97.252   0.168  96.252   0.136  96.551   0.123  95.216   0.066  91.485   0.048  91.256   0.460
  81.000   2.025  98.375   0.170  98.802   0.186  98.428   0.247  98.608   0.346  98.461   0.152  98.274   0.280  98.230   0.045  97.921   0.043  98.380   0.106  98.166   0.143  97.697   0.108  97.304   0.167  96.300   0.140  96.625   0.123  95.248   0.027  91.653   0.047  91.392   0.455
  82.000   2.050  98.418   0.170  98.827   0.184  98.454   0.246  98.650   0.354  98.507   0.152  98.325   0.281  98.291   0.041  97.972   0.042  98.431   0.109  98.217   0.137  97.755   0.105  97.344   0.166  96.341   0.137  96.693   0.122  95.341   0.027  91.810   0.047  91.521   0.452
  83.000   2.075  98.453   0.171  98.857   0.189  98.666   0.167  98.687   0.355  98.548   0.150  98.376   0.283  98.349   0.038  98.027   0.043  98.483   0.111  98.268   0.132  97.808   0.105  97.379   0.165  96.378   0.138  96.761   0.120  95.485   0.061  91.964   0.050  91.649   0.449
  84.000   2.100  98.475   0.169  98.878   0.187  98.692   0.166  98.721   0.357  98.583   0.147  98.419   0.286  98.395   0.041  98.089   0.040  98.532   0.111  98.318   0.131  97.854   0.102  97.423   0.166  96.430   0.141  96.830   0.117  95.569   0.062  92.115   0.051  91.777   0.446
  85.000   2.125  98.500   0.168  98.889   0.185  98.715   0.164  98.752   0.344  98.620   0.146  98.467   0.284  98.432   0.043  98.140   0.039  98.580   0.112  98.364   0.129  97.899   0.102  97.477   0.167  96.497   0.140  96.892   0.114  95.652   0.060  92.263   0.053  91.911   0.442
  86.000   2.150  98.533   0.169  98.907   0.185  98.739   0.161  98.783   0.332  98.659   0.145  98.509   0.278  98.465   0.045  98.190   0.039  98.629   0.113  98.408   0.127  97.944   0.102  97.527   0.168  96.560   0.143  96.946   0.111  95.734   0.058  92.410   0.055  92.046   0.440
  87.000   2.175  98.558   0.168  98.924   0.185  98.765   0.159  98.807   0.324  98.699   0.144  98.546   0.275  98.501   0.049  98.247   0.039  98.681   0.112  98.452   0.125  97.990   0.102  97.588   0.169  96.631   0.146  97.004   0.112  95.814   0.058  92.559   0.057  92.180   0.434
  88.000   2.200  98.579   0.168  98.953   0.186  98.788   0.158  98.827   0.316  98.738   0.147  98.593   0.273  98.553   0.053  98.300   0.040  98.826   0.050  98.499   0.124  98.030   0.102  97.656   0.171  96.708   0.143  97.064   0.112  95.896   0.054  92.711   0.061  92.321   0.432
  89.000   2.225  98.617   0.170  98.982   0.189  98.810   0.158  98.856   0.311  98.780   0.143  98.644   0.272  98.602   0.051  98.348   0.042  98.873   0.048  98.549   0.122  98.080   0.106  97.703   0.173  96.764   0.140  97.122   0.111  95.977   0.054  92.852   0.063  92.468   0.430
  90.000   2.250  98.653   0.170  98.997   0.191  98.833   0.160  98.880   0.322  98.807   0.139  98.677   0.271  98.641   0.048  98.394   0.046  98.912   0.045  98.590   0.123  98.132   0.106  97.743   0.175  96.805   0.139  97.174   0.107  96.055   0.053  92.995   0.064  92.602   0.429
  91.000   2.275  98.685   0.165  99.015   0.190  98.857   0.162  98.888   0.323  98.829   0.137  98.703   0.272  98.678   0.048  98.435   0.050  98.950   0.042  98.626   0.123  98.180   0.102  97.785   0.173  96.838   0.140  97.225   0.105  96.133   0.051  93.135   0.067  92.721   0.423
  92.000   2.300  98.712   0.159  99.031   0.188  98.881   0.162  98.909   0.318  98.856   0.137  98.735   0.269  98.728   0.063  98.466   0.053  98.988   0.043  98.661   0.122  98.233   0.100  97.833   0.169  96.881   0.139  97.278   0.108  96.205   0.049  93.269   0.071  92.839   0.421
  93.000   2.325  98.728   0.157  99.043   0.186  98.904   0.161  98.920   0.322  98.878   0.136  98.773   0.266  98.770   0.069  98.499   0.051  99.026   0.040  98.700   0.121  98.274   0.097  97.876   0.165  96.931   0.137  97.331   0.110  96.271   0.049  93.399   0.069  92.959   0.419
  94.000   2.350  98.743   0.157  99.054   0.184  98.927   0.162  98.941   0.326  98.900   0.132  98.804   0.261  98.802   0.070  98.538   0.048  99.059   0.037  98.739   0.124  98.318   0.098  97.922   0.160  96.985   0.134  97.379   0.112  96.341   0.048  93.526   0.068  93.080   0.423
  95.000   2.375  98.757   0.161  99.075   0.184  98.945   0.161  98.970   0.330  98.926   0.127  98.841   0.256  98.823   0.067  98.577   0.049  99.096   0.035  98.778   0.125  98.361   0.100  97.970   0.158  97.044   0.133  97.435   0.112  96.418   0.046  93.658   0.068  93.200   0.425
  96.000   2.400  98.774   0.163  99.096   0.182  98.961   0.160  98.987   0.334  98.944   0.122  98.868   0.253  98.835   0.067  98.610   0.052  99.129   0.029  98.818   0.124  98.399   0.099  98.009   0.153  97.088   0.132  97.488   0.113  96.493   0.046  93.784   0.069  93.316   0.425
  97.000   2.425  98.794   0.164  99.118   0.184  98.982   0.160  98.992   0.339  98.961   0.122  98.888   0.249  98.860   0.068  98.645   0.052  99.156   0.026  98.858   0.125  98.434   0.097  98.054   0.148  97.128   0.130  97.540   0.116  96.563   0.045  93.908   0.072  93.428   0.420
  98.000   2.450  98.822   0.169  99.144   0.188  99.004   0.160  99.007   0.345  98.983   0.125  98.918   0.250  98.895   0.073  98.682   0.051  99.186   0.027  98.899   0.130  98.467   0.095  98.112   0.142  97.172   0.124  97.595   0.120  96.631   0.045  94.034   0.073  93.554   0.413
  99.000   2.475  98.853   0.169  99.170   0.186  99.024   0.159  99.032   0.342  99.004   0.126  98.953   0.252  98.930   0.074  98.719   0.049  99.212   0.028  98.934   0.132  98.507   0.093  98.167   0.132  97.223   0.121  97.646   0.121  96.701   0.049  94.150   0.073  93.676   0.411
 100.000   2.500  98.880   0.173  99.190   0.184  99.034   0.157  99.059   0.342  99.024   0.120  98.985   0.251  98.963   0.076  98.756   0.046  99.243   0.027  98.967   0.131  98.550   0.095  98.214   0.125  97.276   0.121  97.703   0.121  96.778   0.053  94.263   0.077  93.804   0.412
 102.000   2.550  98.925   0.179  99.081   0.129  99.072   0.160  99.095   0.348  99.065   0.111  99.047   0.250  98.999   0.081  98.826   0.048  99.311   0.028  99.036   0.131  98.625   0.097  98.314   0.123  97.396   0.121  97.821   0.125  96.918   0.051  94.346   0.168  94.070   0.436
 104.000   2.600  98.986   0.173  99.231   0.170  99.114   0.159  99.104   0.346  99.112   0.110  99.099   0.244  99.036   0.077  98.864   0.051  99.363   0.024  99.100   0.125  98.689   0.095  98.389   0.116  97.484   0.121  97.915   0.123  97.050   0.046  94.563   0.160  94.665   0.192
 106.000   2.650  99.033   0.166  99.258   0.169  99.138   0.154  99.139   0.341  99.147   0.109  99.141   0.234  99.085   0.068  98.904   0.050  99.418   0.024  99.141   0.117  98.668   0.038  98.454   0.104  97.571   0.111  98.006   0.125  97.129   0.018  94.782   0.150  94.842   0.185
 108.000   2.700  99.067   0.163  99.283   0.170  99.173   0.150  99.162   0.332  99.166   0.109  99.185   0.227  99.136   0.074  98.934   0.053  99.480   0.031  99.188   0.119  98.816   0.097  98.536   0.094  97.651   0.109  98.101   0.128  97.296   0.047  94.998   0.144  95.024   0.187
 110.000   2.750  99.095   0.159  99.321   0.161  99.209   0.154  99.177   0.342  99.195   0.116  99.225   0.218  99.173   0.080  98.998   0.046  99.545   0.039  99.251   0.118  98.883   0.095  98.613   0.084  97.717   0.110  98.194   0.128  97.364   0.023  95.203   0.134  94.824   0.419
 112.000   2.800  99.135   0.149  99.360   0.161  99.250   0.161  99.248   0.345  99.247   0.121  99.268   0.212  99.209   0.083  99.044   0.044  99.597   0.038  99.409   0.048  98.951   0.096  98.681   0.078  97.770   0.112  98.289   0.128  97.479   0.022  95.409   0.126  95.030   0.402
 114.000   2.850  99.188   0.145  99.400   0.167  99.269   0.157  99.255   0.369  99.273   0.127  99.311   0.221  99.246   0.076  99.096   0.039  99.626   0.031  99.450   0.049  98.998   0.097  98.740   0.084  97.820   0.106  98.501   0.054  97.605   0.025  95.607   0.123  95.207   0.406
 116.000   2.900  99.217   0.151  99.430   0.168  99.286   0.149  99.275   0.369  99.282   0.130  99.354   0.227  99.268   0.079  99.123   0.037  99.654   0.039  99.395   0.119  99.031   0.095  98.812   0.082  97.887   0.119  98.597   0.050  97.771   0.055  95.788   0.122  95.372   0.409
 118.000   2.950  99.264   0.153  99.463   0.172  99.330   0.153  99.293   0.386  99.305   0.129  99.379   0.230  99.315   0.081  99.156   0.034  99.698   0.030  99.437   0.124  99.078   0.089  98.876   0.088  97.938   0.119  98.670   0.046  97.886   0.053  95.984   0.121  95.548   0.419
 120.000   3.000  99.298   0.147  99.503   0.171  99.357   0.144  99.295   0.393  99.340   0.126  99.407   0.229  99.336   0.079  99.190   0.033  99.729   0.019  99.481   0.126  99.133   0.090  98.958   0.090  97.985   0.115  98.746   0.038  98.001   0.052  96.166   0.121  95.711   0.416
 122.000   3.050  99.336   0.142  99.529   0.181  99.370   0.142  99.304   0.411  99.353   0.134  99.439   0.219  99.366   0.073  99.225   0.037  99.759   0.024  99.505   0.127  99.177   0.089  99.002   0.099  98.041   0.108  98.815   0.041  98.106   0.055  96.333   0.120  95.881   0.380
 124.000   3.100  99.370   0.139  99.544   0.177  99.412   0.139  99.316   0.427  99.356   0.133  99.471   0.218  99.398   0.064  99.251   0.038  99.793   0.023  99.526   0.125  99.227   0.082  99.054   0.105  98.106   0.108  98.888   0.039  98.197   0.058  96.504   0.124  96.029   0.370
 126.000   3.150  99.393   0.135  99.543   0.171  99.422   0.131  99.320   0.424  99.257   0.054  99.495   0.218  99.417   0.073  99.281   0.043  99.826   0.024  99.558   0.130  99.259   0.077  99.078   0.108  98.177   0.088  98.944   0.035  98.286   0.053  96.673   0.121  96.165   0.362
 128.000   3.200  99.419   0.139  99.569   0.166  99.450   0.131  99.294   0.432  99.276   0.049  99.520   0.223  99.432   0.084  99.306   0.052  99.847   0.024  99.587   0.134  99.292   0.084  99.120   0.114  98.247   0.077  99.003   0.033  98.361   0.048  96.831   0.115  96.278   0.364
 130.000   3.250  99.456   0.142  99.582   0.160  99.488   0.134  99.343   0.427  99.326   0.040  99.543   0.219  99.451   0.080  99.335   0.049  99.893   0.024  99.614   0.133  99.327   0.087  99.165   0.111  98.307   0.080  99.067   0.024  98.445   0.041  96.984   0.105  96.415   0.359
 132.000   3.300  99.490   0.140  99.589   0.060  99.497   0.124  99.378   0.416  99.366   0.024  99.558   0.208  99.491   0.079  99.366   0.051  99.909   0.033  99.624   0.132  99.356   0.087  99.201   0.092  98.355   0.072  99.130   0.020  98.516   0.044  97.129   0.097  96.528   0.360
 134.000   3.350  99.550   0.145  99.597   0.054  99.504   0.116  99.396   0.408  99.389   0.019  99.574   0.212  99.525   0.070  99.400   0.050  99.927   0.036  99.647   0.125  99.381   0.087  99.255   0.072  98.420   0.075  99.182   0.019  98.590   0.049  97.280   0.098  96.630   0.367
 136.000   3.400  99.580   0.142  99.601   0.049  99.518   0.106  99.399   0.406  99.415   0.019  99.599   0.214  99.552   0.063  99.443   0.047  99.938   0.031  99.647   0.122  99.411   0.085  99.302   0.064  98.456   0.075  99.224   0.008  98.657   0.046  97.423   0.095  96.756   0.366
 138.000   3.450  99.607   0.139  99.548   0.093  99.552   0.107  99.452   0.433  99.450   0.019  99.636   0.213  99.566   0.067  99.465   0.050  99.946   0.031  99.670   0.122  99.447   0.088  99.335   0.058  98.523   0.074  99.274   0.021  98.723   0.054  97.556   0.104  96.894   0.377
 140.000   3.500  99.607   0.116  99.572   0.087  99.573   0.104  99.441   0.409  99.469   0.021  99.661   0.207  99.588   0.069  99.483   0.056  99.961   0.027  99.686   0.118  99.468   0.087  99.346   0.065  98.554   0.084  99.321   0.022  98.782   0.053  97.680   0.096  97.019   0.367
 142.000   3.550  99.613   0.100  99.597   0.084  99.590   0.099  99.471   0.383  99.485   0.015  99.681   0.197  99.465   0.171  99.515   0.048  99.987   0.036  99.703   0.112  99.474   0.097  99.370   0.060  98.580   0.086  99.366   0.020  98.834   0.046  97.804   0.091  97.132   0.348
 144.000   3.600  99.713   0.068  99.637   0.075  99.590   0.089  99.501   0.367  99.515   0.011  99.702   0.180  99.478   0.158  99.551   0.045  99.893   0.099  99.711   0.102  99.480   0.099  99.390   0.058  98.622   0.090  99.408   0.024  98.883   0.045  97.918   0.087  97.268   0.314
 146.000   3.650  99.686   0.103  99.644   0.074  99.599   0.088  99.535   0.359  99.558   0.014  99.717   0.178  99.495   0.156  99.578   0.047  99.906   0.102  99.742   0.092  99.496   0.088  99.415   0.052  98.675   0.095  99.388   0.071  98.949   0.040  98.027   0.082  97.390   0.294
 148.000   3.700  99.710   0.108  99.638   0.076  99.607   0.083  99.566   0.350  99.587   0.017  99.745   0.167  99.506   0.154  99.705   0.117  99.919   0.106  99.769   0.084  99.521   0.089  99.425   0.053  98.695   0.104  99.482   0.029  99.013   0.030  98.127   0.082  97.496   0.282
 150.000   3.750  99.732   0.112  99.657   0.076  99.639   0.086  99.586   0.336  99.681   0.054  99.762   0.154  99.536   0.158  99.711   0.117  99.938   0.101  99.794   0.087  99.560   0.089  99.436   0.058  98.715   0.100  99.437   0.070  99.068   0.028  98.227   0.075  97.590   0.290
 152.000   3.800  99.792   0.125  99.678   0.076  99.645   0.083  99.600   0.348  99.691   0.060  99.772   0.157  99.704   0.063  99.716   0.122  99.955   0.098  99.819   0.081  99.585   0.082  99.462   0.070  98.757   0.106  99.464   0.072  99.125   0.031  98.340   0.070  97.691   0.287
 154.000   3.850  99.813   0.125  99.705   0.075  99.660   0.082  99.631   0.335  99.728   0.059  99.789   0.154  99.587   0.149  99.746   0.121  99.956   0.101  99.831   0.084  99.604   0.088  99.498   0.075  98.789   0.100  99.500   0.078  99.136   0.015  98.433   0.076  97.787   0.286
 156.000   3.900  99.826   0.123  99.706   0.070  99.694   0.084  99.660   0.307  99.740   0.053  99.811   0.145  99.635   0.140  99.761   0.117  99.965   0.093  99.849   0.079  99.615   0.087  99.530   0.082  98.815   0.103  99.534   0.072  99.195   0.011  98.529   0.075  97.926   0.266
 158.000   3.950  99.826   0.116  99.715   0.077  99.725   0.091  99.663   0.290  99.806   0.023  99.807   0.142  99.667   0.141  99.769   0.112  99.957   0.088  99.854   0.084  99.636   0.077  99.535   0.074  98.830   0.104  99.558   0.060  99.244   0.013  98.608   0.071  98.037   0.261
 160.000   4.000  99.834   0.109  99.714   0.078  99.742   0.089  99.964   0.065  99.834   0.021  99.807   0.131  99.697   0.148  99.775   0.109  99.943   0.089  99.846   0.072  99.666   0.074  99.545   0.072  98.853   0.101  99.582   0.059  99.306   0.039  98.683   0.068  98.109   0.248
 162.000   4.050  99.843   0.104  99.734   0.073  99.760   0.086  99.726   0.280  99.796   0.044  99.804   0.119  99.694   0.141  99.772   0.108  99.954   0.083  99.847   0.058  99.680   0.060  99.566   0.076  98.877   0.096  99.602   0.063  99.344   0.039  98.765   0.063  98.166   0.252
 164.000   4.100  99.825   0.091  99.854   0.131  99.763   0.081  99.733   0.252  99.807   0.038  99.774   0.126  99.713   0.142  99.775   0.113  99.941   0.074  99.866   0.053  99.677   0.063  99.608   0.074  98.903   0.093  99.624   0.059  99.378   0.042  98.843   0.065  98.238   0.261
 166.000   4.150  99.800   0.083  99.875   0.126  99.787   0.084  99.964   0.054  99.820   0.035  99.769   0.126  99.843   0.050  99.772   0.106 100.018   0.031  99.886   0.049  99.710   0.067  99.481   0.160  98.959   0.088  99.634   0.062  99.414   0.045  98.909   0.069  98.338   0.246
 168.000   4.200  99.788   0.076  99.879   0.122  99.788   0.080  99.729   0.215  99.839   0.032  99.778   0.118  99.851   0.050  99.769   0.106  99.958   0.069  99.886   0.051  99.732   0.067  99.524   0.145  99.008   0.089  99.644   0.059  99.458   0.044  98.990   0.070  98.412   0.243
 170.000   4.250  99.797   0.071  99.884   0.119  99.794   0.071  99.733   0.217  99.848   0.033  99.783   0.108  99.750   0.140  99.799   0.107 100.002   0.025  99.879   0.038  99.740   0.069  99.570   0.140  99.035   0.075  99.614   0.022  99.502   0.045  99.048   0.072  98.490   0.239
 172.000   4.300  99.805   0.072  99.876   0.112  99.797   0.073  99.746   0.215  99.838   0.035  99.898   0.045  99.899   0.064  99.818   0.108  99.978   0.023  99.851   0.012  99.752   0.066  99.607   0.133  99.071   0.074  99.627   0.020  99.538   0.047  99.112   0.075  98.563   0.237
 174.000   4.350  99.825   0.075  99.798   0.062  99.811   0.075  99.741   0.215  99.832   0.041  99.902   0.045  99.893   0.059  99.835   0.114  99.982   0.022  99.853   0.010  99.755   0.065  99.622   0.142  99.096   0.069  99.678   0.050  99.524   0.017  99.169   0.080  98.819   0.111
 176.000   4.400  99.842   0.078  99.823   0.044  99.745   0.037  99.753   0.207  99.793   0.013  99.806   0.107  99.887   0.053  99.938   0.044  99.924   0.054  99.854   0.011  99.759   0.065  99.767   0.058  99.130   0.053  99.653   0.020  99.583   0.041  99.227   0.083  98.683   0.217
 178.000   4.450  99.876   0.078  99.903   0.070  99.752   0.038  99.726   0.232  99.790   0.006  99.811   0.106  99.896   0.037  99.942   0.042  99.918   0.064  99.853   0.015  99.767   0.066  99.659   0.135  99.153   0.045  99.671   0.017  99.602   0.040  99.282   0.086  98.743   0.223
 180.000   4.500  99.893   0.083  99.903   0.059  99.759   0.038  99.945   0.030  99.796   0.014  99.800   0.097  99.884   0.039  99.845   0.094  99.926   0.056  99.854   0.013  99.753   0.062  99.796   0.067  99.168   0.050  99.720   0.035  99.622   0.035  99.352   0.088  98.818   0.220
 182.000   4.550  99.879   0.089  99.870   0.031  99.784   0.038  99.989   0.043  99.794   0.015  99.819   0.100  99.772   0.131  99.847   0.079  99.945   0.057  99.866   0.014  99.770   0.071  99.842   0.060  99.217   0.043  99.756   0.042  99.657   0.039  99.410   0.088  98.936   0.208
 184.000   4.600  99.861   0.084  99.868   0.028  99.807   0.041  99.995   0.017  99.815   0.014  99.846   0.094  99.773   0.127  99.873   0.068  99.953   0.056  99.880   0.018  99.772   0.076  99.738   0.150  99.235   0.038  99.793   0.045  99.687   0.038  99.469   0.084  99.015   0.202
 186.000   4.650  99.831   0.046  99.867   0.027  99.801   0.034  99.958   0.003  99.856   0.036  99.845   0.081  99.778   0.114  99.900   0.060  99.959   0.053  99.889   0.006  99.782   0.076  99.765   0.150  99.290   0.037  99.817   0.053  99.678   0.015  99.527   0.079  99.081   0.194
 188.000   4.700  99.828   0.046  99.877   0.031  99.867   0.056  99.983   0.019  99.809   0.019  99.863   0.089  99.911   0.050  99.967   0.023  99.954   0.051  99.894   0.013  99.789   0.078  99.764   0.142  99.322   0.044  99.828   0.038  99.743   0.043  99.573   0.079  99.131   0.205
 190.000   4.750  99.830   0.043  99.894   0.038  99.819   0.093  99.812   0.181  99.874   0.064  99.875   0.086  99.925   0.043  99.966   0.018 100.004   0.019  99.906   0.020  99.805   0.082  99.777   0.138  99.372   0.050  99.845   0.031  99.726   0.017  99.612   0.080  99.186   0.197
 192.000   4.800  99.868   0.052  99.892   0.032  99.833   0.099 100.018   0.028  99.836   0.027  99.894   0.070  99.941   0.039  99.973   0.019  99.997   0.008  99.919   0.018  99.816   0.079  99.821   0.110  99.413   0.064  99.858   0.038  99.808   0.045  99.651   0.078  99.270   0.166
 194.000   4.850  99.827   0.032  99.871   0.032  99.852   0.087 100.021   0.000  99.906   0.060  99.908   0.052  99.864   0.080  99.982   0.020  99.999   0.011  99.965   0.040  99.836   0.074  99.829   0.090  99.437   0.059  99.874   0.041  99.832   0.038  99.697   0.074  99.317   0.169
 196.000   4.900  99.830   0.029  99.915   0.065  99.879   0.087  99.877   0.132  99.939   0.057  99.923   0.034  99.870   0.065  99.964   0.039  99.995   0.005  99.973   0.037  99.821   0.072  99.841   0.081  99.348   0.126  99.882   0.039  99.851   0.024  99.744   0.076  99.375   0.153
 198.000   4.950  99.873   0.045  99.919   0.055  99.839   0.068  99.978   0.012  99.949   0.051  99.932   0.021  99.862   0.068 100.008   0.005  99.981   0.011  99.974   0.041  99.843   0.062  99.932   0.036  99.379   0.118  99.890   0.027  99.878   0.028  99.783   0.074  99.441   0.131
 200.000   5.000  99.903   0.057  99.926   0.056  99.852   0.064  99.879   0.092 100.007   0.017  99.924   0.022  99.886   0.060  99.999   0.005  99.996   0.017  99.981   0.047  99.855   0.054  99.865   0.087  99.406   0.110  99.906   0.037  99.903   0.028  99.809   0.065  99.562   0.121
 202.000   5.050  99.960   0.071  99.936   0.067  99.870   0.052  99.900   0.085 100.012   0.020  99.949   0.037  99.899   0.053 100.001   0.011  99.966   0.037  99.940   0.017  99.914   0.019  99.901   0.082  99.538   0.035  99.915   0.039  99.909   0.027  99.840   0.064  99.609   0.131
 204.000   5.100  99.931   0.047  99.935   0.051  99.910   0.050  99.983   0.010  99.986   0.057  99.951   0.025  99.981   0.021  99.977   0.023  99.977   0.025  99.952   0.006  99.909   0.013  99.926   0.072  99.574   0.029  99.929   0.032  99.953   0.007  99.865   0.055  99.640   0.126
 206.000   5.150  99.963   0.016  99.947   0.051  99.927   0.040  99.991   0.006  99.971   0.051  99.955   0.026  99.998   0.017  99.963   0.028  99.989   0.026  99.959   0.009  99.893   0.025  99.929   0.059  99.635   0.052  99.945   0.020  99.917   0.032  99.882   0.050  99.680   0.113
 208.000   5.200  99.964   0.013  99.971   0.058  99.935   0.038 100.037   0.008  99.974   0.039  99.994   0.005  99.973   0.037  99.959   0.025 100.009   0.024  99.959   0.013  99.924   0.005  99.962   0.041  99.712   0.045  99.959   0.015  99.946   0.031  99.905   0.047  99.733   0.101
 210.000   5.250  99.965   0.008  99.957   0.044  99.957   0.029 100.076   0.006 100.009   0.013 100.018   0.010  99.971   0.027  99.974   0.034  99.990   0.024  99.973   0.012  99.923   0.018  99.980   0.034  99.842   0.012  99.965   0.016  99.977   0.012  99.925   0.041  99.755   0.028
 212.000   5.300  99.935   0.017  99.916   0.020  99.978   0.037 100.126   0.010  99.982   0.041 100.054   0.017  99.978   0.025  99.992   0.035 100.002   0.018 100.010   0.018  99.950   0.016 100.000   0.033  99.882   0.014  99.968   0.019  99.962   0.033  99.959   0.028  99.855   0.048
 214.000   5.350  99.946   0.021  99.948   0.007  99.996   0.030 100.109   0.016  99.986   0.037 100.007   0.038  99.984   0.027  99.990   0.023  99.985   0.004  99.997   0.009  99.956   0.013  99.991   0.029  99.911   0.015  99.958   0.019  99.966   0.033  99.966   0.013  99.898   0.035
 216.000   5.400  99.991   0.019  99.952   0.002  99.976   0.016 100.066   0.013 100.001   0.029 100.028   0.008  99.983   0.027 100.001   0.019  99.992   0.006  99.999   0.010  99.976   0.003  99.988   0.027  99.905   0.045  99.965   0.013  99.971   0.025  99.983   0.001  99.935   0.035
